ID,GO
PBANKA_1113100,GO:0000917
PBANKA_1104800,GO:0005524
PBANKA_0834600,GO:0005200
PBANKA_1212400,GO:0005737
PBANKA_0926500,GO:0046872
PBANKA_0300800,GO:0046905
PBANKA_1319200,GO:0006886
PBANKA_0403200,GO:0030260
PBANKA_1020600,GO:0006281
PBANKA_1338500,GO:0008080
PBANKA_1327200,GO:0005840
PBANKA_1310600,GO:0042167
PBANKA_0524200,GO:0009986
PBANKA_0516900,GO:0006597
PBANKA_0905600,GO:0003743
PBANKA_0825600,GO:0044822
PBANKA_0709100,GO:0005840
PBANKA_1355100,GO:0005622
PBANKA_1327100,GO:0005509
PBANKA_1109200,GO:0004816
PBANKA_0903600,GO:0005525
PBANKA_0708600,GO:0055114
PBANKA_1414700,GO:0005525
PBANKA_1457100,GO:0051568
PBANKA_1128100,GO:0020005
PBANKA_1433900,GO:0030131
PBANKA_1401200,GO:0003724
PBANKA_1459300,GO:0005634
PBANKA_1319600,GO:0006629
PBANKA_0315600,GO:0003735
PBANKA_0214300,GO:0030117
PBANKA_1134200,GO:0004735
PBANKA_1137700,GO:0016020
PBANKA_1324900,GO:0032040
PBANKA_0925400,GO:0016887
PBANKA_1412600,GO:0007004
PBANKA_0402600,GO:0070258
PBANKA_1219700,GO:0045454
PBANKA_0601300,GO:0006457
PBANKA_API00304,GO:0006412
PBANKA_1318700,GO:0005737
PBANKA_1238300,GO:0030286
PBANKA_0521700,GO:0003700
PBANKA_0522800,GO:0022627
PBANKA_1429900,GO:0003824
PBANKA_1240600,GO:0070258
PBANKA_0930900,GO:0004843
PBANKA_1212800,GO:0004672
PBANKA_0405300,GO:0006412
PBANKA_1327000,GO:0003899
PBANKA_1106500,GO:0006508
PBANKA_0307200,GO:0016021
PBANKA_0941300,GO:0097619
PBANKA_0835600,GO:0005524
PBANKA_0408600,GO:0005737
PBANKA_0925000,GO:0008270
PBANKA_0903800,GO:0005524
PBANKA_0818600,GO:0003676
PBANKA_1144900,GO:0016021
PBANKA_1330100,GO:0042255
PBANKA_0401100,GO:0005634
PBANKA_0516600,GO:0000164
PBANKA_0410300,GO:0008541
PBANKA_0403100,GO:0015035
PBANKA_0213900,GO:0007017
PBANKA_1438800,GO:0003735
PBANKA_1224100,GO:0005524
PBANKA_1136700,GO:0009190
PBANKA_1332900,GO:0016592
PBANKA_1012600,GO:0008536
PBANKA_0500741,GO:0020003
PBANKA_1316400,GO:0006376
PBANKA_1352600,GO:0006468
PBANKA_1214300,GO:0004634
PBANKA_1438200,GO:0005524
PBANKA_0924300,GO:0005783
PBANKA_0910300,GO:0004012
PBANKA_1446900,GO:0004148
PBANKA_0922300,GO:0006435
PBANKA_0716900,GO:0005829
PBANKA_1103100,GO:0003779
PBANKA_0814200,GO:0006414
PBANKA_0706000,GO:0005737
PBANKA_0303200,GO:0003899
PBANKA_0412000,GO:0020011
PBANKA_0305100,GO:0008234
PBANKA_0706300,GO:0003924
PBANKA_1430200,GO:0016021
PBANKA_0803200,GO:0046856
PBANKA_1313000,GO:0006355
PBANKA_1138200,GO:0043141
PBANKA_0612000,GO:0006508
PBANKA_1029900,GO:0005524
PBANKA_0505800,GO:0005737
PBANKA_1459700,GO:0000398
PBANKA_0709500,GO:0005524
PBANKA_1401200,GO:0005524
PBANKA_1419900,GO:0005783
PBANKA_1419900,GO:0004114
PBANKA_1002800,GO:0008270
PBANKA_0214200,GO:0001522
PBANKA_0939000,GO:0055085
PBANKA_1419800,GO:0004114
PBANKA_0413900,GO:0005622
PBANKA_0402100,GO:0000922
PBANKA_1206200,GO:0010468
PBANKA_1451600,GO:0019948
PBANKA_1420400,GO:0032021
PBANKA_0314200,GO:0006468
PBANKA_0515300,GO:0000077
PBANKA_0313800,GO:0045261
PBANKA_1445100,GO:0005839
PBANKA_0512300,GO:0008270
PBANKA_1002800,GO:0030127
PBANKA_0803100,GO:0006260
PBANKA_1356000,GO:0003700
PBANKA_0804600,GO:0005524
PBANKA_0813000,GO:0030260
PBANKA_1135400,GO:0009231
PBANKA_0717600,GO:0005739
PBANKA_0514900,GO:0009986
PBANKA_1306400,GO:0008318
PBANKA_0617900,GO:0055114
PBANKA_1303000,GO:0005524
PBANKA_1228200,GO:0055114
PBANKA_0941800,GO:0000786
PBANKA_1448200,GO:0008270
PBANKA_1241700,GO:0016021
PBANKA_1111300,GO:0005737
