ID,GO
PF3D7_0924000,GO:0006629
PF3D7_0207600,GO:0008234
PF3D7_1238500,GO:0003779
PF3D7_0903300,GO:0005622
PF3D7_1206900,GO:0016020
PF3D7_1441500,GO:0016020
PF3D7_1340700,GO:0005525
PF3D7_1311700,GO:0020037
PF3D7_0302600,GO:0006855
PF3D7_1367000,GO:0019005
PF3D7_1344900,GO:0005737
PF3D7_1027700,GO:0005509
PF3D7_1319200,GO:0050660
PF3D7_1352200,GO:0044822
PF3D7_1307600,GO:0020011
PF3D7_1117700,GO:0003924
PF3D7_0411100,GO:0005737
PF3D7_0425700,GO:0020035
PF3D7_0832300,GO:0005737
PF3D7_1417800,GO:0006270
PF3D7_0810100,GO:0005622
PF3D7_0301300,GO:0016787
PF3D7_0803200,GO:0005200
PF3D7_0915000,GO:0003960
PF3D7_0407200,GO:0004045
PF3D7_1237500,GO:0016020
PF3D7_0937000,GO:0006457
PF3D7_0632800,GO:0020013
PF3D7_0628600,GO:0035267
PF3D7_0411800,GO:0005737
PF3D7_1208100,GO:0016020
PF3D7_0904900,GO:0031410
PF3D7_0209500,GO:0006412
PF3D7_0622700,GO:0016020
PF3D7_0302200,GO:0020008
PF3D7_1369100,GO:0005737
PF3D7_1103900,GO:0005743
PF3D7_0503100,GO:0050515
PF3D7_1457200,GO:0005829
PF3D7_1218900,GO:0005737
PF3D7_0425300,GO:0005737
PF3D7_1135100,GO:0004722
PF3D7_0626300,GO:0004312
PF3D7_0416700,GO:0005739
PF3D7_0318600,GO:0006379
PF3D7_1248600,GO:0042765
PF3D7_0410400,GO:0000178
PF3D7_0409800,GO:0008270
PF3D7_0623900,GO:0016070
PF3D7_1455200,GO:0008168
PFI0905w,GO:0016021
PF3D7_1124700,GO:0051082
PF3D7_0916500,GO:0030433
PF3D7_1240300,GO:0020030
PF3D7_0724200,GO:0005737
PF3D7_0503200,GO:0017111
PF3D7_1429900,GO:0006281
PF3D7_0829400,GO:0031418
PF3D7_1202000,GO:0003676
PF3D7_1429200,GO:0006355
PF3D7_0802200,GO:0016209
PF3D7_0702400,GO:0033644
PF3D7_1337100,GO:0006468
PF3D7_1340800,GO:0006850
PF3D7_0515300,GO:0005515
PF3D7_1117700,GO:0006886
PF3D7_1145000,GO:0005634
PF3D7_1034000,GO:0006904
PF3D7_1333300,GO:0008320
PF3D7_0914500,GO:0005737
PF3D7_1463300,GO:0071897
PF3D7_1444700,GO:0016020
PF3D7_1308500,GO:0016301
PF3D7_0322000,GO:0006457
PF3D7_1474100,GO:0019843
PF3D7_1411400,GO:0003678
PF3D7_1444400,GO:0016740
PF3D7_0902000,GO:0020011
PF3D7_1357200,GO:0020011
PF3D7_0902400,GO:0006468
PF3D7_1325100,GO:0000287
PF3D7_0313100,GO:0010564
PF3D7_0420900,GO:0020030
PF3D7_1223900,GO:0030529
PF3D7_1019500,GO:0016021
PF3D7_0215800,GO:0005634
PF3D7_1412600,GO:0034038
PF3D7_1142500,GO:0005840
PF3D7_0922900,GO:0006633
PF3D7_0730500,GO:0005737
PF3D7_1116200,GO:0005829
PF3D7_0915400,GO:0005737
PF3D7_0623900,GO:0090502
PF3D7_0417200,GO:0006545
PF3D7_1301400,GO:0030430
PF3D7_0317100,GO:0006412
PF3D7_0216700,GO:0003779
PF3D7_1310000,GO:0005754
PF3D7_1140000,GO:0005737
PF3D7_1477600,GO:0016020
PF3D7_0319100,GO:0008270
PF3D7_1433000,GO:0042254
PF3D7_0927300,GO:0016836
PF3D7_0616700,GO:0015031
PF3D7_0202400,GO:0005524
PF3D7_1145800,GO:0006412
PF3D7_0507800,GO:0005737
PF3D7_1120500,GO:0003723
PF3D7_0520000,GO:0003735
PF3D7_0600500,GO:0020033
PF3D7_0801400,GO:0003677
PF3D7_0506600,GO:0003723
PF3D7_0705300,GO:0003688
PF3D7_1417400,GO:0030551
PF3D7_1404900,GO:0016020
PF3D7_0817000,GO:0019781
PF3D7_0504000,GO:0000166
PF3D7_1232200,GO:0042803
PF3D7_1474900,GO:0000932
PF3D7_1454400,GO:0070006
PF3D7_1366200,GO:0020011
PF3D7_1015000,GO:0016020
PF3D7_0425800,GO:0020030
PF3D7_0424200,GO:0020008
PF3D7_1132100,GO:0005737
PF3D7_1362500,GO:0003676
PF3D7_0919500,GO:0022857
PF3D7_0826900,GO:0007059
PF3D7_0211400,GO:0006633
PF3D7_0601700,GO:0000166
PF3D7_0819000,GO:0003723
PF3D7_1452000,GO:1990225
PF3D7_1336700,GO:0005737
